GeneID	Name	Exons	Size	A_0	A_1	B_0	B_1	C_0	C_1	D_0	D_1	E_0	E_1	F_0	F_1	G_0	G_1	H_0	H_1	I_0	I_1	J_0	J_1	K_0	K_1	KR_0	KR_1	L_0	L_1	M_0	M_1	N_0	N_1	O_0	O_1	P_0	P_1	Q_0	Q_1	S_0	S_1	T_0	T_1	U_0	U_1	
PVP01_1131700	histone H2A%2C putative	1	401	214	449	5166	7785	6445	11625	2233	5777	110	236	2980	5562	505	634	266	545	17	30	1185	2350	164	352	807	453	751	1140	61	17	313	331	149	82	134	406	663	807	171	13	81	209	687	738	
PVP01_1132100	mitochondrial import receptor subunit TOM40%2C putative	1	1193	23	125	114	123	295	261	372	111	18	27	119	172	61	32	8	10	0	6	156	137	46	17	16	33	50	60	0	0	2	16	11	0	61	18	2	10	0	2	21	12	20	6	
PVP01_1132400	ras GTPAse%2C putative	1	1358	23	11	291	370	605	477	81	109	6	6	235	203	16	9	20	17	0	0	64	53	12	4	62	33	46	40	2	0	41	25	6	6	5	10	52	54	9	3	4	2	88	24	
PVP01_1132500	conserved protein%2C unknown function	1	1997	15	43	328	522	957	674	167	147	11	5	127	172	44	27	32	44	2	2	93	111	21	17	41	21	99	95	6	2	30	20	12	2	11	11	38	37	3	0	6	0	110	39	
PVP01_1132800	conserved Plasmodium protein%2C unknown function	1	647	0	9	24	6	28	21	25	22	4	4	6	18	3	6	0	3	1	0	3	10	2	2	0	0	0	0	0	0	2	0	1	0	1	1	2	0	0	0	4	0	4	0	
PVP01_1133200	conserved Plasmodium protein%2C unknown function	1	4157	6	42	82	14	46	73	77	179	18	15	108	113	38	20	9	2	0	0	45	87	3	6	4	12	12	2	0	0	2	6	2	0	16	14	2	0	0	0	5	0	7	9	
PVP01_1133300	conserved Plasmodium protein%2C unknown function	2	3436	16	96	337	272	363	412	406	693	7	19	552	358	46	63	42	16	0	0	99	200	24	17	44	15	54	48	0	2	6	2	12	0	44	43	13	11	8	2	13	14	39	10	
PVP01_1133500	conserved Plasmodium protein%2C unknown function	8	7057	36	202	369	178	416	479	574	626	28	46	459	346	79	103	70	37	2	2	88	371	31	46	29	24	69	68	4	4	16	12	4	0	82	29	18	8	8	0	27	2	17	18	
PVP01_1133700	ribonuclease%2C putative	9	8016	16	71	235	249	297	368	147	220	8	13	111	117	59	37	33	21	5	0	25	94	3	13	24	15	38	34	0	2	7	6	5	1	12	10	12	13	3	0	0	14	14	2	
PVP01_1133800	GPI-anchored wall transfer protein 1%2C putative	1	1970	2	22	264	271	428	624	173	170	14	12	124	98	11	16	16	28	2	0	54	104	10	16	18	2	12	31	2	0	5	3	2	6	16	19	16	8	0	0	8	3	9	4	
PVP01_1134000	enoyl-acyl carrier reductase%2C putative	1	1211	0	0	43	19	48	22	0	39	0	0	49	29	6	8	0	1	0	2	4	16	0	2	7	3	8	4	0	0	2	2	0	0	1	4	3	5	0	0	0	1	4	0	
PVP01_1134300	endonuclease III homologue%2C putative	1	1253	4	41	261	62	82	134	578	534	17	20	394	209	45	55	29	1	0	0	134	202	42	20	13	4	12	17	0	0	6	1	6	2	62	55	2	4	10	0	19	12	18	2	
PVP01_1134500	conserved Plasmodium protein%2C unknown function	1	1763	6	27	302	488	820	666	61	101	4	7	138	159	20	13	18	16	0	2	63	41	6	12	71	37	48	47	4	0	36	25	8	4	2	2	68	54	16	0	3	4	84	29	
PVP01_1134600	60S ribosomal protein L19%2C putative	3	546	116	335	752	567	1480	1172	1798	1146	106	82	804	888	175	198	41	49	27	17	647	748	209	117	97	113	218	267	2	8	27	37	33	5	296	115	51	46	18	3	76	22	89	78	
PVP01_1134800	major facilitator superfamily-related transporter%2C putative	4	2618	33	119	89	18	141	164	202	168	19	26	79	95	38	49	21	14	6	4	85	183	11	15	19	39	67	50	0	0	22	11	3	0	30	14	6	1	2	0	12	4	26	3	
PVP01_1134900	cytosolic Fe-S cluster assembly factor NAR1%2C putative	1	2396	11	19	51	56	63	130	175	72	2	6	76	63	21	9	5	2	0	2	31	68	16	8	4	4	0	14	0	0	0	2	4	0	33	12	4	4	0	1	10	0	2	6	
PVP01_1135000	conserved Plasmodium protein%2C unknown function	1	2723	2	6	57	77	134	128	3	18	0	0	6	25	16	2	2	0	0	0	6	0	0	4	10	2	10	16	4	0	4	0	2	5	2	2	2	2	0	0	0	2	4	0	
PVP01_1135100	thiamin-phosphate pyrophosphorylase%2C putative	1	1766	3	17	117	64	91	124	196	97	14	4	149	73	23	5	5	2	0	0	51	50	24	8	0	4	8	4	0	0	0	2	4	0	14	6	4	3	2	0	0	4	4	0	
PVP01_1135200	myosin E%2C putative	1	5960	2	0	37	8	27	11	17	31	0	1	49	13	132	4	2	0	2	0	36	2	4	0	50	0	7	0	3	0	0	6	2	0	1	0	0	4	0	0	2	2	10	0	
PVP01_1135400	syntaxin binding protein%2C putative	1	1964	46	90	120	41	347	240	263	165	16	15	225	170	39	44	16	4	0	2	77	104	29	10	10	18	22	35	0	0	6	2	6	0	26	3	9	5	4	0	4	4	8	6	
PVP01_1135600	AP-3 complex subunit beta%2C putative	1	3014	9	72	192	82	265	271	261	250	24	26	211	159	32	34	32	12	2	2	63	170	24	20	6	12	33	53	0	0	0	4	0	0	32	14	4	4	2	0	5	10	4	10	
PVP01_1135800	rhoptry protein ROP14%2C putative	4	3263	0	2	35	16	62	43	34	66	0	1	11	29	26	5	1	2	0	0	3	1	3	0	14	2	8	4	1	0	0	0	0	0	2	4	0	0	0	0	0	0	2	0	
PVP01_1136100	conserved Plasmodium protein%2C unknown function	6	360	6	35	55	64	148	129	246	29	11	2	99	76	21	7	6	2	0	0	85	69	27	9	8	2	18	23	1	0	4	0	2	0	33	3	5	7	0	0	5	0	12	1	
PVP01_1136300	6-cysteine protein	1	1295	31	88	73	33	157	118	236	141	23	21	116	101	57	58	22	8	6	4	104	153	6	12	25	34	56	36	0	3	20	13	5	0	13	24	5	6	0	1	10	2	31	11	
PVP01_1136400	6-cysteine protein	1	1088	0	2	4	1	4	1	4	15	4	4	22	20	6	4	0	0	0	0	7	6	0	2	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	
PVP01_1136500	cytoplasmic tRNA 2-thiolation protein 1%2C putative	1	1346	8	52	112	25	129	133	234	194	10	14	195	107	21	34	22	3	2	0	94	121	17	12	18	7	10	25	2	0	0	9	2	0	16	12	6	12	2	0	16	12	6	6	
PVP01_1136600	conserved Plasmodium protein%2C unknown function	1	365	16	43	360	811	930	1380	23	58	0	8	61	107	9	19	20	45	2	5	63	32	12	6	29	27	56	88	1	0	18	26	6	6	4	4	49	87	10	1	0	0	45	30	
PVP01_1136900	leucine-rich repeat protein	8	4717	2	35	409	769	1016	1503	29	157	1	10	97	187	35	28	17	41	4	0	30	82	6	8	47	19	43	102	0	0	4	16	5	6	8	8	50	41	6	0	0	2	33	37	
PVP01_1137000	eukaryotic translation initiation factor 3 subunit L%2C putative	1	1862	2	60	252	146	217	156	593	384	13	21	124	135	26	38	12	12	8	7	45	91	31	7	14	19	27	18	0	0	6	12	0	0	41	20	6	0	1	0	16	4	5	2	
PVP01_1137100	conserved Plasmodium protein%2C unknown function	3	234	1	0	22	9	11	14	21	45	0	2	15	21	0	2	1	1	0	0	2	1	1	1	0	0	0	0	0	0	2	0	2	1	3	1	0	0	0	0	0	0	1	1	
PVP01_1137400	conserved Plasmodium protein%2C unknown function	5	9058	32	187	741	857	1149	1514	200	628	18	57	260	491	98	84	43	23	2	4	131	251	46	26	52	37	73	124	0	0	26	20	16	0	54	14	59	40	12	0	14	16	59	48	
PVP01_1137500	60S ribosomal protein L39%2C putative	3	153	34	109	223	125	303	248	597	373	21	21	309	274	51	67	15	16	2	0	215	204	87	27	18	38	59	54	0	1	9	12	6	13	61	32	6	10	3	0	20	3	18	16	
PVP01_1137600	conserved Plasmodium protein%2C unknown function	1	2186	34	119	1238	2783	4159	6076	64	318	17	23	360	555	64	91	103	131	6	4	220	192	19	42	125	136	266	366	0	2	37	67	32	14	6	8	271	217	40	17	0	11	214	136	
PVP01_1137700	conserved Plasmodium protein%2C unknown function	1	1163	8	8	103	267	612	452	13	14	0	0	32	24	12	5	4	18	1	1	53	31	4	6	30	13	65	30	2	0	5	14	9	2	0	2	23	14	4	2	0	0	50	46	
PVP01_1137800	SWIB/MDM2 domain-containing protein%2C putative	1	2462	31	169	354	238	509	456	608	717	31	32	676	538	82	78	34	11	10	8	224	429	54	45	22	45	83	69	0	4	17	26	14	4	61	59	9	12	4	0	14	6	50	16	
PVP01_1138100	succinate dehydrogenase subunit 3%2C putative	1	266	0	0	29	27	34	19	30	59	0	5	71	25	1	7	1	3	1	0	1	14	0	0	1	3	6	6	0	0	0	0	2	0	3	4	1	0	0	0	0	0	4	3	
PVP01_1138200	SNARE associated Golgi protein%2C putative	3	870	10	24	151	168	225	340	52	99	3	3	89	81	18	17	11	16	0	0	22	45	11	1	8	4	12	19	0	0	0	0	0	0	8	0	25	15	0	0	11	7	13	2	
PVP01_1138300	transcription elongation factor SPT5%2C putative	1	3641	32	188	404	214	570	545	326	566	39	52	597	504	86	119	35	20	0	2	155	455	51	54	61	43	100	96	2	1	17	6	7	0	55	63	20	30	11	4	31	10	77	33	
PVP01_1138600	peptidyl-tRNA hydrolase PTRHD1%2C putative	2	370	0	11	26	18	27	35	154	15	0	2	28	34	18	10	4	2	0	0	93	35	17	4	4	0	2	10	0	0	0	0	0	0	38	1	0	0	0	0	3	0	0	0	
PVP01_1138800	RNA-binding protein 25%2C putative	1	1667	21	77	361	211	508	638	409	350	10	20	298	254	39	88	23	35	1	2	146	337	33	24	32	32	55	79	0	0	11	9	18	0	50	31	15	15	5	0	27	8	24	21	
PVP01_1138900	pre-mRNA-splicing factor SLU7%2C putative	3	1368	28	73	201	165	373	305	270	284	17	21	274	186	37	33	9	9	6	6	82	134	19	27	23	21	59	35	0	2	3	12	0	0	37	16	7	14	3	2	9	4	7	9	
PVP01_1139200	palmitoyltransferase DHHC2%2C putative	4	851	6	25	458	997	1160	1516	38	89	1	5	56	233	17	28	15	36	0	0	51	53	9	6	37	20	58	91	1	0	11	13	13	2	2	5	54	51	4	0	1	0	51	46	
PVP01_1139500	cardiolipin synthetase%2C putative	1	2282	14	20	36	4	59	58	65	85	0	7	76	36	25	9	10	3	0	3	18	56	5	4	5	7	5	2	0	0	2	2	0	0	6	4	4	0	4	0	2	2	1	0	
PVP01_1139800	zinc transporter ZIP1%2C putative	7	878	5	7	86	86	133	166	32	77	0	1	46	47	11	7	5	11	0	0	16	20	2	0	6	3	8	10	1	0	0	0	0	1	2	2	3	13	3	0	0	0	6	16	
PVP01_1140400	proteasome subunit alpha type-2%2C putative	2	706	10	78	257	179	372	243	594	411	11	17	148	131	45	42	33	15	2	2	194	227	37	37	32	4	22	52	0	2	16	10	8	2	78	49	6	2	4	0	6	2	35	5	
PVP01_1140500	conserved Plasmodium protein%2C unknown function	2	316	4	12	103	70	165	141	173	145	5	0	171	103	7	12	5	14	0	0	25	57	18	20	16	5	9	10	0	0	4	3	2	0	7	9	3	7	4	0	4	2	5	9	
PVP01_1140800	conserved Plasmodium protein%2C unknown function	4	464	2	13	32	52	33	39	98	54	2	0	61	37	3	6	5	0	0	0	17	9	8	3	6	0	6	0	0	0	2	0	0	0	10	9	5	1	0	0	1	1	2	0	
PVP01_1141000	diphthine methyltransferase%2C putative	9	1074	2	11	107	19	26	21	290	169	7	7	155	53	28	34	10	2	0	0	81	126	12	15	5	3	1	6	0	0	1	0	2	0	17	28	0	2	0	0	8	0	3	0	
PVP01_1141200	GTP-binding protein%2C putative	2	1846	0	24	146	77	57	102	297	227	7	13	343	105	36	26	10	2	0	0	56	104	36	18	3	4	10	8	0	0	0	2	0	0	50	18	5	2	0	0	13	1	6	0	
PVP01_1141400	spindle assembly abnormal protein 6%2C putative	5	2308	14	45	700	1127	1086	965	47	488	11	6	219	514	49	17	16	42	2	2	95	51	9	16	117	32	76	60	10	2	24	24	18	9	2	5	107	108	18	4	2	17	132	62	
PVP01_1141600	G-protein associated signal transduction protein%2C putative	9	1895	6	32	68	34	78	91	95	120	2	0	85	90	17	18	4	3	0	1	36	31	8	11	8	0	4	18	0	0	0	2	0	2	11	10	5	0	4	0	2	2	15	3	
PVP01_1141800	RING zinc finger protein%2C putative	3	1203	2	28	242	260	459	655	143	320	7	6	216	166	9	19	12	12	0	0	51	104	8	13	11	10	19	47	2	2	2	5	2	0	20	16	11	19	7	2	6	6	23	23	
PVP01_1142100	glutaredoxin-like protein	1	662	1	26	76	54	90	114	99	55	8	4	50	42	2	11	6	2	0	0	42	35	26	3	6	2	19	27	0	0	0	0	0	2	14	4	5	10	2	0	4	2	4	1	
PVP01_1142300	conserved Plasmodium protein%2C unknown function	2	5698	12	92	397	372	636	1087	210	276	10	26	200	170	49	63	28	31	2	10	66	167	26	14	21	21	21	68	2	0	3	6	6	2	56	13	35	48	6	2	4	8	14	8	
PVP01_1142400	polypyrimidine tract-binding protein%2C putative	5	2269	18	79	77	40	61	83	78	128	10	6	68	65	29	41	12	4	4	0	30	119	6	7	10	10	31	13	0	2	2	0	3	0	8	3	4	0	2	0	2	0	4	6	
PVP01_1142500	conserved Plasmodium protein%2C unknown function	5	367	5	12	275	551	952	843	49	50	4	7	58	93	8	17	17	33	0	3	45	51	8	2	47	14	63	75	0	0	10	11	7	13	8	9	63	46	14	0	0	2	64	41	
PVP01_1142700	ubiquitin-conjugating enzyme E2%2C putative	5	454	3	13	65	53	96	91	42	116	0	5	94	75	5	14	1	4	0	0	20	33	3	0	6	3	4	17	0	0	4	0	6	0	6	2	2	4	2	0	2	7	1	5	
PVP01_1142900	conserved Plasmodium protein%2C unknown function	1	3476	22	94	563	528	976	1140	464	738	50	37	262	405	329	121	54	57	14	7	871	420	41	52	390	109	278	168	11	11	71	24	6	3	50	54	67	26	5	1	47	8	138	31	
PVP01_1143100	DNA repair protein RAD50%2C putative	1	5357	0	10	307	191	433	454	140	397	2	15	187	157	38	21	18	8	0	0	14	105	6	20	16	12	24	36	4	0	0	4	2	0	4	18	16	7	2	0	2	2	12	4	
PVP01_1143300	nucleoside diphosphate kinase%2C putative	7	5060	2	17	250	379	589	360	25	59	2	2	79	91	34	14	14	12	0	0	29	16	4	3	73	29	35	19	0	0	17	17	8	2	0	8	26	12	8	0	1	0	60	31	
PVP01_1143400	cyclin dependent kinase binding protein%2C putative	2	1657	2	4	101	50	135	96	71	197	4	0	148	120	16	10	5	8	0	0	18	22	7	5	11	2	9	4	0	0	3	4	4	0	12	4	0	2	0	0	0	1	3	6	
PVP01_1143500	calcium-binding protein%2C putative	1	476	0	2	51	51	210	112	29	63	4	2	61	40	1	5	2	0	0	3	15	24	2	3	22	8	3	4	2	0	7	9	6	0	1	6	9	8	0	0	0	1	18	13	
PVP01_1143700	conserved Plasmodium protein%2C unknown function	6	630	7	11	187	234	399	304	178	196	5	4	186	134	20	27	5	16	0	0	39	87	7	1	27	18	34	22	0	0	4	2	3	3	11	10	19	6	11	1	2	0	23	19	
PVP01_1144000	conserved Plasmodium protein%2C unknown function	3	282	0	7	25	17	38	40	52	20	1	0	28	25	2	2	3	10	0	0	24	12	1	1	5	2	0	5	0	0	0	0	0	0	4	3	2	0	2	0	3	0	3	0	
PVP01_1144100	RAP protein%2C putative	1	4130	0	36	166	75	155	301	183	107	22	2	132	105	72	41	36	6	0	0	96	130	33	34	6	6	6	31	0	0	2	2	4	2	28	23	6	6	0	0	14	2	20	0	
PVP01_1144200	glyoxalase I%2C putative	6	948	0	1	71	11	24	22	53	109	4	2	52	31	8	13	4	0	0	0	10	45	0	0	2	0	0	2	0	0	1	0	0	0	4	9	0	0	0	0	0	0	0	0	
PVP01_1144800	AP2 domain transcription factor%2C putative	1	5849	0	13	158	144	122	162	51	149	2	6	51	97	50	14	6	4	0	0	24	52	10	6	7	4	9	20	0	0	6	13	2	1	4	10	3	2	0	0	2	11	8	9	
PVP01_1144900	conserved Plasmodium protein%2C unknown function	1	4706	4	44	134	116	161	182	226	186	2	6	208	164	50	25	20	8	0	0	68	103	13	12	13	2	16	33	2	1	0	0	0	0	46	15	7	0	4	0	12	4	16	6	
PVP01_1145000	conserved Plasmodium protein%2C unknown function	1	1127	1	9	101	176	364	202	21	20	0	0	31	38	4	11	4	5	0	0	31	15	11	3	44	22	20	18	0	2	20	13	12	0	4	0	15	8	2	0	0	0	83	6	
PVP01_1145100	centrosomal protein CEP76%2C putative	9	5545	0	16	201	169	435	153	95	621	8	2	416	564	38	13	7	7	0	0	16	53	0	8	44	11	28	26	4	0	9	6	0	0	3	23	6	4	2	0	2	23	44	8	
PVP01_1145300	conserved Plasmodium protein%2C unknown function	2	6982	29	145	754	1041	1394	1437	288	594	25	31	256	403	70	73	51	46	2	2	115	246	19	26	49	35	63	107	2	0	13	12	8	2	39	44	90	85	16	9	17	10	112	52	
PVP01_1145500	trophozoite exported protein 1%2C putative	1	2870	70	180	414	194	406	443	560	528	47	69	262	341	68	86	32	4	12	14	137	421	60	43	17	77	91	91	0	2	12	20	12	4	107	36	33	12	7	0	24	12	18	16	
PVP01_1145600	dihydroorotate dehydrogenase%2C putative	1	1718	18	66	165	29	111	160	357	234	4	12	259	156	30	43	18	2	0	7	77	179	27	30	2	13	16	43	0	0	0	4	5	0	67	35	0	2	6	0	9	7	10	6	
PVP01_1145800	RNA-binding protein%2C putative	1	1436	13	100	210	184	334	349	273	305	8	13	192	218	41	39	26	19	0	2	64	135	19	5	22	7	28	33	2	0	0	4	2	2	51	15	9	6	0	0	13	0	12	13	
PVP01_1146000	conserved Plasmodium protein%2C unknown function	2	1495	1	9	44	57	87	88	44	133	4	0	93	51	13	14	5	6	0	0	16	21	4	6	2	3	3	6	0	0	0	0	0	0	6	6	0	4	0	0	0	7	4	0	
PVP01_1146200	conserved Plasmodium protein%2C unknown function	1	1265	0	18	114	188	397	310	68	21	3	2	53	37	11	12	5	8	2	2	46	38	4	8	13	10	22	34	2	0	6	9	0	0	10	3	15	16	0	2	0	0	50	13	
PVP01_1146300	SAC3/GNAP family-related protein%2C putative	5	3736	27	95	344	272	417	473	355	578	13	20	318	304	57	42	8	21	4	0	86	214	37	24	32	17	33	49	0	0	9	10	4	0	58	17	13	29	4	0	16	18	44	10	
PVP01_1146500	elongation factor G%2C putative	4	2768	0	6	38	27	64	97	63	37	0	4	77	36	14	9	4	2	0	0	20	31	7	7	4	4	2	10	0	0	3	2	0	0	20	12	0	0	2	0	4	0	4	2	
PVP01_1146900	conserved Plasmodium protein%2C unknown function	1	4130	10	67	742	1082	1243	1402	179	313	10	12	235	315	85	59	40	28	0	2	97	190	15	18	81	31	104	75	2	6	35	24	8	8	29	11	101	60	11	0	4	2	92	46	
PVP01_1147000	Plasmodium exported protein%2C unknown function	3	1881	0	6	10	14	31	36	53	14	7	0	22	6	46	0	10	0	0	0	59	18	10	6	21	0	3	2	0	0	0	0	2	0	14	10	2	0	2	0	5	0	12	0	
PVP01_1147200	Plasmodium exported protein%2C unknown function	2	514	18	57	176	137	366	317	303	273	27	15	222	242	94	75	4	8	10	1	419	205	17	11	102	38	79	59	0	12	19	9	0	7	23	25	21	9	11	0	17	5	37	20	
PVP01_1147300	conserved Plasmodium protein%2C unknown function	2	457	98	178	504	349	1352	697	1457	657	152	55	592	514	315	203	41	19	41	8	1271	671	68	57	348	227	486	132	5	13	142	50	16	4	47	60	47	38	6	2	76	24	271	67	
PVP01_1147400	Plasmodium exported protein%2C unknown function	2	547	131	284	582	357	1384	758	1855	834	161	45	599	678	419	156	44	32	48	13	2203	751	160	82	451	160	414	229	7	5	158	54	21	1	135	71	40	24	8	2	84	11	206	54	
PVP01_1147500	Plasmodium exported protein%2C unknown function	2	805	12	64	345	373	943	664	466	158	51	9	298	196	688	54	24	45	11	11	4313	193	50	24	958	60	197	71	6	10	123	20	12	0	56	13	69	35	2	0	47	3	169	30	
PVP01_1147700	PIR protein	3	1176	38	195	331	299	642	477	495	497	25	22	232	380	101	77	22	14	12	19	395	338	77	35	56	77	149	92	0	2	23	13	30	2	67	61	26	26	7	0	20	15	95	34	
PVP01_1147800	Plasmodium exported protein%2C unknown function	2	994	17	13	23	14	338	42	860	61	120	9	22	43	666	60	10	4	27	6	3275	187	2	15	975	113	372	18	3	16	247	28	3	0	0	17	25	5	0	0	74	0	291	13	
PVP01_1148100	PIR protein	4	2009	0	0	2	0	6	2	5	3	2	0	2	4	13	0	0	0	0	0	100	2	0	0	43	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	3	0	
PVP01_1148200	PIR protein	3	1788	11	18	18	5	15	23	108	44	6	2	22	45	11	9	0	0	0	0	47	81	6	9	15	32	0	0	0	0	4	3	0	0	2	5	3	2	0	0	3	0	4	0	
PVP01_1148400	PIR protein	3	1572	25	136	187	172	548	393	143	163	0	0	363	284	9	7	0	0	0	0	83	84	19	11	24	17	0	0	2	0	7	4	1	2	25	16	15	12	0	0	9	1	9	19	
PVP01_1148700	PIR protein	3	1383	10	26	22	33	106	56	29	25	1	0	29	28	42	3	0	0	0	0	368	39	5	4	176	9	3	1	0	0	11	0	0	0	5	5	3	6	0	0	2	0	36	2	
PVP01_1148800	PIR protein%2C pseudogene	3	1149	24	35	11	22	190	88	75	35	9	1	29	33	10	12	1	0	4	7	61	52	16	14	27	43	24	4	0	4	20	5	1	0	3	1	13	21	0	1	14	2	77	80	
PVP01_1149100	PIR protein	3	1230	3	10	140	213	211	189	222	86	16	1	137	116	108	79	22	5	3	5	501	305	55	10	189	81	41	28	0	2	48	23	9	0	25	46	49	22	6	0	28	8	42	22	
PVP01_1149200	PIR protein%2C fragment	2	232	0	4	28	34	92	54	30	28	4	0	18	33	13	3	8	3	0	0	72	40	3	6	24	25	24	24	0	0	4	3	1	0	5	8	8	5	1	0	4	0	13	1	
PVP01_1149300	PIR protein	2	517	0	0	2	0	5	0	2	1	0	0	12	4	2	3	0	0	0	0	3	1	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
PVP01_1149500	PIR protein	2	1246	9	16	44	35	153	122	112	80	12	3	105	132	11	33	6	13	3	2	228	187	27	15	29	70	117	55	0	4	25	25	4	0	4	1	3	2	0	0	4	12	32	36	
PVP01_1200100	PIR protein	1	149	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PVP01_1200200	PIR protein	3	714	7	12	5	2	7	0	14	1	0	3	4	1	3	1	4	0	0	0	13	13	1	3	9	2	12	3	1	0	3	0	0	0	0	3	2	0	0	0	0	0	4	0	
PVP01_1200300	PIR protein	3	1149	6	7	6	1	0	0	13	18	0	0	9	24	6	26	0	0	0	0	4	3	0	0	0	4	0	0	0	0	3	3	0	6	8	2	1	2	0	0	5	4	0	0	
PVP01_1200400	PIR protein	3	1332	0	7	3	1	9	3	7	1	2	0	52	41	2	0	0	0	1	0	5	8	0	0	2	2	6	6	0	0	2	4	0	0	1	0	0	0	0	0	0	0	3	0	
PVP01_1200500	PIR protein	3	873	0	0	1	3	0	1	4	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	2	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PVP01_1200600	PIR protein	3	1080	0	1	7	12	14	6	40	19	1	0	21	20	3	0	2	0	0	3	5	2	3	1	5	9	13	2	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	
PVP01_1200700	PIR protein	2	397	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PVP01_1200800	PIR protein	4	1052	0	20	9	2	21	12	22	17	2	2	5	21	0	2	0	0	0	0	36	17	4	2	2	2	0	0	0	0	0	0	2	0	3	0	2	2	0	0	0	0	2	0	
PVP01_1201100	PIR protein%2C pseudogene	2	1405	0	5	52	81	225	224	9	13	0	4	19	11	6	12	3	15	0	3	26	37	2	0	17	33	14	25	0	0	3	8	0	0	0	0	27	16	0	0	1	0	28	42	
PVP01_1201700	hypothetical protein	2	427	148	429	1162	909	2190	1648	2536	1934	164	130	904	1652	439	283	67	69	51	12	1770	1290	244	115	402	232	569	349	7	8	156	93	59	14	209	166	112	101	24	3	146	37	259	134	
PVP01_1201800	tryptophan-rich protein	2	1837	26	50	21	17	252	67	222	93	50	2	68	41	30	36	5	2	3	0	99	179	14	9	19	55	157	39	2	3	7	12	12	0	12	8	24	2	0	0	7	2	32	14	
PVP01_1201900	Plasmodium exported protein%2C unknown function	3	1749	8	19	21	16	82	31	52	22	10	2	11	27	34	5	5	0	0	0	287	43	4	2	49	6	17	8	0	0	2	4	2	0	7	2	0	4	0	0	4	0	12	0	
PVP01_1202200	protein kinase%2C putative	9	1257	4	4	83	97	239	200	40	20	0	1	95	20	2	4	8	0	1	0	26	34	1	5	11	18	7	10	0	0	6	7	7	6	2	1	7	19	3	0	0	2	22	13	
PVP01_1202300	thioredoxin-related protein%2C putative	2	628	21	33	118	105	238	254	114	120	11	12	108	93	9	18	7	3	7	0	58	78	8	4	14	10	33	22	0	0	3	6	4	0	19	3	10	7	0	0	4	0	20	9	
PVP01_1202500	conserved Plasmodium protein%2C unknown function	1	1712	0	6	30	14	27	41	47	30	0	0	13	16	13	7	2	0	0	0	15	15	2	1	0	0	5	10	0	0	0	2	2	3	6	6	2	0	0	0	2	2	6	3	
PVP01_1202700	ABC transporter B family member 6%2C putative	1	2996	0	24	22	4	41	43	34	29	9	12	20	31	6	12	2	0	4	2	28	44	4	4	2	6	15	7	0	0	2	2	0	2	4	9	4	0	0	0	2	0	2	0	
PVP01_1202900	conserved Plasmodium protein%2C unknown function	1	1289	6	25	94	95	98	110	59	134	6	18	84	63	17	15	10	12	2	2	29	69	13	13	5	9	23	22	0	0	0	2	0	2	12	25	6	10	6	0	1	0	10	2	
PVP01_1203500	conserved Plasmodium protein%2C unknown function	1	1427	4	18	27	23	25	49	26	5	2	0	27	30	0	3	3	0	0	0	11	19	2	1	8	4	10	10	0	0	0	0	0	0	12	2	6	0	0	0	4	0	1	0	
PVP01_1203700	conserved protein%2C unknown function	6	465	6	36	75	18	66	46	212	105	10	7	120	93	17	25	2	6	0	0	68	66	18	7	3	0	0	15	0	0	2	0	0	0	28	21	0	0	2	0	4	0	1	0	
PVP01_1203900	AP2 domain transcription factor AP2-O4%2C putative	1	2363	0	4	33	73	169	227	6	2	2	0	18	6	11	9	6	15	0	0	0	10	2	0	0	2	4	6	0	0	0	2	0	0	0	4	10	4	4	0	0	0	6	4	
PVP01_1204000	conserved Plasmodium protein%2C unknown function	1	845	11	46	695	1372	1593	2189	43	70	2	13	77	184	28	26	39	78	2	2	90	115	10	12	56	45	92	136	4	0	17	4	13	4	9	3	125	116	26	4	2	0	87	46	
PVP01_1204300	conserved Plasmodium protein%2C unknown function	1	3887	2	2	75	66	82	100	69	144	7	9	107	105	22	19	17	13	0	0	17	86	8	12	14	8	11	4	1	0	2	0	2	0	19	37	6	6	0	0	3	7	7	2	
PVP01_1204600	small nuclear ribonucleoprotein E%2C putative	4	281	3	18	67	91	171	115	57	26	2	2	68	42	4	3	1	5	0	0	35	22	5	3	10	6	8	5	0	0	4	5	3	0	5	5	9	2	3	0	1	0	5	3	
PVP01_1204700	lysine--tRNA ligase%2C putative	2	1756	10	82	138	86	186	224	141	231	13	11	147	122	19	39	8	6	0	3	44	109	13	8	13	8	10	22	0	0	1	1	3	2	31	16	9	2	4	2	2	0	5	6	
